# Names as the emulator reads them out of the romset, with the region it states.
# 'check' rows are where your label shares no word with the emulator's.
romset	your label	game	region	suggested name	class
fantzn2x.zip	Fantasy Zone II - The Tears of Opa-Opa (2008)	Fantasy Zone II - The Tears of Opa-Opa (System 16C version)	—	Fantasy Zone II - The Tears of Opa-Opa (System 16C version)	alias
fantzone.zip	Fantasy Zone	Fantasy Zone (Rev A, unprotected)	—	Fantasy Zone (Rev A, unprotected)	alias
fatfursp.zip	Fatal Fury Special	Fatal Fury Special / Garou Densetsu Special (NGM-058 ~ NGH-058, set 1)	—	Fatal Fury Special / Garou Densetsu Special (NGM-058 ~ NGH-058, set 1)	alias
fatfury1.zip	Fatal Fury : King of Fighters	Fatal Fury - King of Fighters / Garou Densetsu - Shukumei no Tatakai (NGM-033 ~ NGH-033)	—	Fatal Fury - King of Fighters / Garou Densetsu - Shukumei no Tatakai (NGM-033 ~ NGH-033)	alias
fatfury2.zip	Fatal Fury 2	Fatal Fury 2 / Garou Densetsu 2 - Arata-naru Tatakai (NGM-047 ~ NGH-047)	—	Fatal Fury 2 / Garou Densetsu 2 - Arata-naru Tatakai (NGM-047 ~ NGH-047)	alias
fatfury3.zip	Fatal Fury 3: Road to the Final Victory	Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - Haruka-naru Tatakai (NGM-069 ~ NGH-069)	—	Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - Haruka-naru Tatakai (NGM-069 ~ NGH-069)	alias
fball.zip	Fire Ball	Fire Ball (FM Work)	—	Fire Ball (FM Work)	alias
fbfrenzy.zip	Football Frenzy	Football Frenzy (NGM-034 ~ NGH-034)	—	Football Frenzy (NGM-034 ~ NGH-034)	alias
feversos.zip	Fever SOS	Fever SOS (98/09/25 VER)	World	Fever SOS (98/09/25 VER) (World)	alias
ffight.zip	Final Fight	Final Fight (set 1)	World	Final Fight (set 1) (World)	alias
ffightaec2.zip	ffightaec2	Final Fight: Anniversary Edition (CPS2 hardware)	—	Final Fight: Anniversary Edition (CPS2 hardware)	check
fghtatck.zip	Fighter & Attacker	Fighter & Attacker	USA	Fighter & Attacker (USA)	alias
fghthist.zip	Fighter's History	Fighter's History (World ver 43-09, DE-0395-1 PCB)	—	Fighter's History (World ver 43-09, DE-0395-1 PCB)	alias
fhawk.zip	Fighting Hawk	Fighting Hawk	World	Fighting Hawk (World)	alias
fightfev.zip	Fight Fever	Fight Fever / Wang Jung Wang (set 1)	—	Fight Fever / Wang Jung Wang (set 1)	alias
finalap3.zip	Final Lap 3	Final Lap 3 (Rev C)	World	Final Lap 3 (Rev C) (World)	alias
finalb.zip	Final Blow	Final Blow	World	Final Blow (World)	alias
finalgdr.zip	Final Godori	Final Godori (version 2.20.5915)	Korea	Final Godori (version 2.20.5915) (Korea)	alias
finalizr.zip	Finalizer - Super Transformation	Finalizer - Super Transformation (set 1)	—	Finalizer - Super Transformation (set 1)	alias
finallap.zip	Final Lap	Final Lap (Rev E)	—	Final Lap (Rev E)	alias
finehour.zip	Finest Hour	Finest Hour	Japan	Finest Hour (Japan)	alias
firebarr.zip	Air Assault	Fire Barrel	Japan	Fire Barrel (Japan)	check
firebeas.zip	Firebeast	Firebeast (prototype)	—	Firebeast (prototype)	alias
firetrap.zip	Fire Trap	Fire Trap (rev A)	USA	Fire Trap (rev A) (USA)	alias
fitegolf.zip	Lee Trevino's Fighting Golf	Lee Trevino's Fighting Golf (World?)	—	Lee Trevino's Fighting Golf (World?)	alias
flower.zip	Flower (US)	Flower	USA	Flower (USA)	alias
flyboy.zip	Fly-boy	Fly-Boy	—	Fly-Boy	alias
flytiger.zip	Flying Tiger	Flying Tiger (set 1)	—	Flying Tiger (set 1)	alias
fncywld.zip	Fancy World: Earth of Crisis	Fancy World - Earth of Crisis	—	Fancy World - Earth of Crisis	alias
foodf.zip	Food Fight	Food Fight (rev 3)	—	Food Fight (rev 3)	alias
footchmp.zip	Football Champ	Football Champ / Euro Football Champ	World	Football Champ / Euro Football Champ (World)	alias
forgottn.zip	Forgotten Worlds	Forgotten Worlds (newer)	World	Forgotten Worlds (newer) (World)	alias
formatz.zip	Aeroboto	Formation Z	—	Formation Z	check
fort2b.zip	Fortress 2 Blue Arcade	Fortress 2 Blue Arcade (ver 1.01 / pcb ver 3.05)	World	Fortress 2 Blue Arcade (ver 1.01 / pcb ver 3.05) (World)	alias
fourtrax.zip	Four Trax	Four Trax	World	Four Trax (World)	alias
fpoint.zip	Flash Point	Flash Point (set 2) (FD1094 317-0127A)	Japan	Flash Point (set 2) (FD1094 317-0127A) (Japan)	alias
freekick.zip	Free Kick	Free Kick (NS6201-A 1987.10)	—	Free Kick (NS6201-A 1987.10)	alias
friskyt.zip	Frisky Tom	Frisky Tom (set 1)	—	Frisky Tom (set 1)	alias
froman2b.zip	Idol Mahjong Final Romance 2	Idol Mahjong Final Romance 2 (Neo-Geo, bootleg of CD version)	—	Idol Mahjong Final Romance 2 (Neo-Geo, bootleg of CD version)	alias
frontlin.zip	Front Line	Front Line (AA1, 4 PCB version)	—	Front Line (AA1, 4 PCB version)	alias
fround.zip	The Final Round	The Final Round (version M)	—	The Final Round (version M)	alias
fshark.zip	Sky Shark	Flying Shark	World	Flying Shark (World)	alias
fspiderb.zip	Frog & Spiders	Frog & Spiders (bootleg?)	—	Frog & Spiders (bootleg?)	alias
fstarfrc.zip	Final Star Force	Final Star Force	USA	Final Star Force (USA)	alias
funkyjet.zip	Funky Jet	Funky Jet (rev 1)	World	Funky Jet (rev 1) (World)	alias
futari15.zip	Mushihime-Sama Futari	Mushihime-Sama Futari Ver 1.5 (2006/12/8.MASTER VER. 1.54.)	—	Mushihime-Sama Futari Ver 1.5 (2006/12/8.MASTER VER. 1.54.)	alias
futaribl.zip	Mushihime-Sama Futari Black Label	Mushihime-Sama Futari Black Label - Another Ver (2009/11/27 INTERNATIONAL BL)	—	Mushihime-Sama Futari Black Label - Another Ver (2009/11/27 INTERNATIONAL BL)	alias
futspy.zip	Future Spy	Future Spy (315-5061)	—	Future Spy (315-5061)	alias
ga2.zip	Golden Axe: The Revenge of Death Adder	Golden Axe: The Revenge of Death Adder (Rev B)	World	Golden Axe: The Revenge of Death Adder (Rev B) (World)	alias
gaialast.zip	Gaia: The Last Choice of Earth	Gaia - The Last Choice of Earth	—	Gaia - The Last Choice of Earth	alias
gaiapols.zip	Gaiapolis	Gaiapolis (ver EAF)	—	Gaiapolis (ver EAF)	alias
gaiden.zip	Ninja Gaiden	Ninja Gaiden	USA	Ninja Gaiden (USA)	alias
galastrm.zip	Galactic Storm	Galactic Storm	Japan	Galactic Storm (Japan)	alias
galaxyfg.zip	Galaxy Fight: Universal Warriors	Galaxy Fight - Universal Warriors	—	Galaxy Fight - Universal Warriors	alias
galivan.zip	Cosmo Police Galivan	Cosmo Police Galivan (12/26/1985)	—	Cosmo Police Galivan (12/26/1985)	alias
galpani3.zip	Gals Panic 3	Gals Panic 3 (Euro)	—	Gals Panic 3 (Euro)	alias
galpani4.zip	Gals Panic 4	Gals Panic 4	Europe	Gals Panic 4 (Europe)	alias
galpanic.zip	Gals Panic	Gals Panic (unprotected, ver. 2.0)	—	Gals Panic (unprotected, ver. 2.0)	alias
galpanis.zip	Gals Panic S - Extra Edition	Gals Panic S - Extra Edition (revision 1)	Europe	Gals Panic S - Extra Edition (revision 1) (Europe)	alias
galpans2.zip	Gals Panic S2	Gals Panic S2 (version 3)	Europe	Gals Panic S2 (version 3) (Europe)	alias
galpans3.zip	Gals Panic S3	Gals Panic S3	Japan	Gals Panic S3 (Japan)	alias
gametngk.zip	The Game Paradise - Master of Shooting!	The Game Paradise - Master of Shooting! / Game Tengoku - The Game Paradise (ver 1.0)	—	The Game Paradise - Master of Shooting! / Game Tengoku - The Game Paradise (ver 1.0)	alias
ganbare.zip	Ganbare! Marine Kun	Ganbare! Marine Kun (Japan 2K0411)	—	Ganbare! Marine Kun (Japan 2K0411)	alias
garogun.zip	Garogun Seroyang	Garogun Seroyang	Korea	Garogun Seroyang (Korea)	alias
garou.zip	Garou: Mark of the Wolves	Garou - Mark of the Wolves (NGM-2530)	—	Garou - Mark of the Wolves (NGM-2530)	alias
garyoret.zip	Garyo Retsuden	Garyo Retsuden	Japan	Garyo Retsuden (Japan)	alias
gaunt2.zip	Gauntlet 2	Gauntlet II	—	Gauntlet II	alias
gaunt22p.zip	Gauntlet II	Gauntlet II (2 Players, rev 2)	—	Gauntlet II (2 Players, rev 2)	alias
gauntlet2p.zip	Gauntlet	Gauntlet (2 Players, rev 6)	—	Gauntlet (2 Players, rev 6)	alias
gberet.zip	Rush'n Attack	Green Beret	—	Green Beret	check
gblchmp.zip	Global Champion	Global Champion (Ver 2.1A 1994/07/29)	—	Global Champion (Ver 2.1A 1994/07/29)	alias
gbusters.zip	Gang Busters	Gang Busters (set 1)	—	Gang Busters (set 1)	alias
gdfs.zip	Mobile Suit Gundam Final Shooting	Mobile Suit Gundam Final Shooting	Japan	Mobile Suit Gundam Final Shooting (Japan)	alias
geebee.zip	Gee Bee	Gee Bee	Japan	Gee Bee (Japan)	alias
geebeeg.zip	Gee Bee	Gee Bee	USA	Gee Bee (USA)	alias
gekiridn.zip	Gekirindan	Gekirindan (Ver 2.3O 1995/09/21)	—	Gekirindan (Ver 2.3O 1995/09/21)	alias
gemini.zip	Gemini Wing	Gemini Wing	World	Gemini Wing (World)	alias
genpeitd.zip	Genpei Toumaden	Genpei ToumaDen	—	Genpei ToumaDen	alias
gground.zip	Gain Ground	Gain Ground (3 Players, Floppy Based, FD1094 317-0058-03d Rev A)	World	Gain Ground (3 Players, Floppy Based, FD1094 317-0058-03d Rev A) (World)	alias
ghostb.zip	The Real Ghostbusters	The Real Ghostbusters (US 2 Players, revision 2)	—	The Real Ghostbusters (US 2 Players, revision 2)	alias
ghostbi.zip	ZZZ(notgame):Demos	Ghost Busters (FMV Demo)	—	Ghost Busters (FMV Demo)	check
ghouls.zip	Ghouls'n Ghosts	Ghouls'n Ghosts	World	Ghouls'n Ghosts (World)	alias
gigasm2.zip	Gigas Mark II	Gigas Mark II (MC-8123, 317-5002)	—	Gigas Mark II (MC-8123, 317-5002)	alias
gigawing.zip	Giga Wing	Giga Wing (USA 990222)	—	Giga Wing (USA 990222)	alias
gijoe.zip	G.I. Joe	G.I. Joe (EAB)	World	G.I. Joe (EAB) (World)	alias
ginganin.zip	Ginga Ninkyouden	Ginga Ninkyouden (set 1)	—	Ginga Ninkyouden (set 1)	alias
gladiatr.zip	Gladiator	Gladiator	USA	Gladiator (USA)	alias
gloc.zip	G-loc Air Battle	G-LOC Air Battle	World	G-LOC Air Battle (World)	alias
gmgalax.zip	Ghostmuncher Galaxian	Ghostmuncher Galaxian (bootleg)	—	Ghostmuncher Galaxian (bootleg)	alias
gogomile.zip	Go Go! Mile Smile	Susume! Mile Smile / Go Go! Mile Smile (newer)	—	Susume! Mile Smile / Go Go! Mile Smile (newer)	alias
goindol.zip	Goindol (SunA, World)	Goindol (SunA)	World	Goindol (SunA) (World)	alias
goldmedl.zip	Gold Medalist	Gold Medalist (set 1, Alpha68k II PCB)	—	Gold Medalist (set 1, Alpha68k II PCB)	alias
goldnaxe.zip	Golden Axe	Golden Axe (set 6) (8751 317-123A)	USA	Golden Axe (set 6) (8751 317-123A) (USA)	alias
gondo.zip	Gondomania	Gondomania	World	Gondomania (World)	alias
gowcaizr.zip	Voltage Fighter Gowcaizer	Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer	—	Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer	alias
gpilots.zip	Ghost Pilots	Ghost Pilots (NGM-020 ~ NGH-020)	—	Ghost Pilots (NGM-020 ~ NGH-020)	alias
gprider.zip	Gp Rider	GP Rider (FD1094 317-0163) (Twin setup)	World	GP Rider (FD1094 317-0163) (Twin setup) (World)	alias
gradius3.zip	Gradius III	Gradius III (version R)	World	Gradius III (version R) (World)	alias
grainbow.zip	SD Gundam Sangokushi Rainbow Tairiku Senki	SD Gundam Sangokushi Rainbow Tairiku Senki	Japan	SD Gundam Sangokushi Rainbow Tairiku Senki (Japan)	alias
gratia.zip	Gratia - Second Earth	Gratia - Second Earth (ver 1.0, 92047-01 version)	—	Gratia - Second Earth (ver 1.0, 92047-01 version)	alias
grdian.zip	Guardian	Guardian	USA	Guardian (USA)	alias
grdians.zip	Guardians: Denjin Makai II	Guardians / Denjin Makai II (P-FG01-1 PCB)	—	Guardians / Denjin Makai II (P-FG01-1 PCB)	alias
grdnstrm.zip	Guardian Storm	Guardian Storm (horizontal, not encrypted)	—	Guardian Storm (horizontal, not encrypted)	alias
grndtour.zip	Grand Tour	Grand Tour (V100U)	—	Grand Tour (V100U)	alias
groundfx.zip	Ground Effects / Super Ground Effects	Ground Effects / Super Ground Effects	Japan	Ground Effects / Super Ground Effects (Japan)	alias
growl.zip	Growl (World, Rev 1)	Growl (Rev 1)	World	Growl (Rev 1) (World)	alias
gseeker.zip	Grid Seeker: Project Storm Hammer	Grid Seeker: Project Storm Hammer (Ver 1.3O)	—	Grid Seeker: Project Storm Hammer (Ver 1.3O)	alias
gslugrsj.zip	Great Sluggers	Great Sluggers	Japan	Great Sluggers (Japan)	alias
gstrik2.zip	Grand Striker 2	Grand Striker 2 (Europe and Oceania)	—	Grand Striker 2 (Europe and Oceania)	alias
gt2k.zip	Golden Tee 2k	Golden Tee 2K (v1.00)	—	Golden Tee 2K (v1.00)	alias
gt3d.zip	Golden Tee 3d Golf	Golden Tee 3D Golf (v1.93N)	—	Golden Tee 3D Golf (v1.93N)	alias
gt97.zip	Golden Tee '97	Golden Tee '97 (v1.30)	—	Golden Tee '97 (v1.30)	alias
gt98.zip	Golden Tee '98	Golden Tee '98 (v1.10)	—	Golden Tee '98 (v1.10)	alias
gt99.zip	Golden Tee '99	Golden Tee '99 (v1.00)	—	Golden Tee '99 (v1.00)	alias
gtclassc.zip	Golden Tee Classic	Golden Tee Classic (v1.00)	—	Golden Tee Classic (v1.00)	alias
gtmr.zip	1000 Miglia: Great 1000 Miles Rally	1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18)	—	1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18)	alias
gtmr2.zip	Mille Miglia 2: Great 1000 Miles Rally	Mille Miglia 2: Great 1000 Miles Rally (95/05/24)	—	Mille Miglia 2: Great 1000 Miles Rally (95/05/24)	alias
gulfstrm.zip	Gulf Storm	Gulf Storm (set 1)	—	Gulf Storm (set 1)	alias
gulfwar2.zip	Gulf War II	Gulf War II (set 1)	—	Gulf War II (set 1)	alias
gulunpa.zip	Gulun.Pa	Gulun.Pa! (Japan 931220 L) (prototype)	—	Gulun.Pa! (Japan 931220 L) (prototype)	alias
gunbird2.zip	Gunbird 2	Gunbird 2 (set 1)	—	Gunbird 2 (set 1)	alias
gunbustr.zip	Gunbuster	Gunbuster	World	Gunbuster (World)	alias
gundamex.zip	Mobile Suit Gundam: EX Revue	Mobile Suit Gundam EX Revue	—	Mobile Suit Gundam EX Revue	alias
gunforc2.zip	GunForce II	Gun Force II	USA	Gun Force II (USA)	alias
gunforce.zip	Gunforce - Battle Fire Engulfed Terror Island	Gunforce - Battle Fire Engulfed Terror Island	World	Gunforce - Battle Fire Engulfed Terror Island (World)	alias
gunfront.zip	Gun & Frontier	Gun & Frontier	World	Gun & Frontier (World)	alias
gunsmoke.zip	Gun.Smoke	Gun.Smoke (1985-11-15)	World	Gun.Smoke (1985-11-15) (World)	alias
gutsn.zip	Guts'n	Guts'n	Japan	Guts'n (Japan)	alias
guwange.zip	Guwange (Japan, 1999 6/24 Master Ver 16:55)	Guwange (1999 6/24 Master Ver 16:55)	Japan	Guwange (1999 6/24 Master Ver 16:55) (Japan)	alias
gwar.zip	Guerrilla War	Guerrilla War	USA	Guerrilla War (USA)	alias
hachoo.zip	Hachoo!	Hachoo! (set 1)	World	Hachoo! (set 1) (World)	alias
hal21.zip	Hal21	HAL21	—	HAL21	alias
halleysc.zip	Halley's Comet	Halley's Comet	USA	Halley's Comet (USA)	alias
hamaway.zip	Hammer Away	Hammer Away (prototype)	Japan	Hammer Away (prototype) (Japan)	alias
hangon.zip	Hang-on	Hang-On (Rev A)	—	Hang-On (Rev A)	alias
hangonjr.zip	Hang-on Jr.	Hang-On Jr. (Rev. B)	—	Hang-On Jr. (Rev. B)	alias
hangzo.zip	Hangzo (Japan, prototype)	Hangzo (prototype)	Japan	Hangzo (prototype) (Japan)	alias
happy6.zip	Happy 6-in-1	Huanle Liu He Yi (Happy 6-in-1) (M68K ver. V101, ARM ver. V102CN)	—	Huanle Liu He Yi (Happy 6-in-1) (M68K ver. V101, ARM ver. V102CN)	check
harddunk.zip	Hard Dunk	Hard Dunk	World	Hard Dunk (World)	alias
hardhea2.zip	Hard Head 2	Hard Head 2 (v2.0, Music Program v2.4)	—	Hard Head 2 (v2.0, Music Program v2.4)	alias
hardyard.zip	Hard Yardage	Hard Yardage (v1.20)	—	Hard Yardage (v1.20)	alias
hatris.zip	Hatris (US)	Hatris	USA	Hatris (USA)	alias
hbarrel.zip	Heavy Barrel	Heavy Barrel	World	Heavy Barrel (World)	alias
hcastle.zip	Haunted Castle	Haunted Castle (version M)	—	Haunted Castle (version M)	alias
hcrash.zip	Hyper Crash	Hyper Crash (version D)	—	Hyper Crash (version D)	alias
headon.zip	Head On	Head On (2 players)	—	Head On (2 players)	alias
headonch.zip	Monita to Rimoko no Head On Channel	Monita to Rimoko no Head On Channel (prototype, hack)	—	Monita to Rimoko no Head On Channel (prototype, hack)	alias
heatbrl.zip	Heated Barrel	Heated Barrel (World version 3)	—	Heated Barrel (World version 3)	alias
heberpop.zip	Hebereke No Popoon	Hebereke no Popoon	Japan	Hebereke no Popoon (Japan)	alias
hedpanic.zip	Head Panic	Head Panic (ver. 0117, 17/01/2000)	—	Head Panic (ver. 0117, 17/01/2000)	alias
heuksun.zip	Heuk Sun Baek Sa	Heuk Sun Baek Sa	Korea	Heuk Sun Baek Sa (Korea)	alias
hgkairak.zip	Taisen Hot Gimmick Kairakuten	Taisen Hot Gimmick Kairakuten	Japan	Taisen Hot Gimmick Kairakuten (Japan)	alias
hharry.zip	Hammerin' Harry	Hammerin' Harry (M81 hardware)	World	Hammerin' Harry (M81 hardware) (World)	alias
hidctch2.zip	Hidden Catch 2	Hidden Catch 2 (pcb ver 3.03) (Kor/Eng) (AT89c52 protected)	—	Hidden Catch 2 (pcb ver 3.03) (Kor/Eng) (AT89c52 protected)	alias
hidctch3.zip	Hidden Catch 3	Hidden Catch 3 (ver 1.00 / pcb ver 3.05)	—	Hidden Catch 3 (ver 1.00 / pcb ver 3.05)	alias
hidnc2k.zip	Hidden Catch 2000	Hidden Catch 2000 (AT89c52 protected)	—	Hidden Catch 2000 (AT89c52 protected)	alias
hidnctch.zip	Hidden Catch	Hidden Catch / Tul Lin Gu Lim Chat Ki '98 (pcb ver 3.03)	World	Hidden Catch / Tul Lin Gu Lim Chat Ki '98 (pcb ver 3.03) (World)	alias
hiimpact.zip	High Impact Football	High Impact Football (rev LA5 02/15/91)	—	High Impact Football (rev LA5 02/15/91)	alias
himesiki.zip	Himeshikibu	Himeshikibu	Japan	Himeshikibu (Japan)	alias
hippodrm.zip	Hippodrome	Hippodrome	USA	Hippodrome (USA)	alias
hitice.zip	Hit The Ice	Hit the Ice	USA	Hit the Ice (USA)	alias
hitnmiss.zip	Hit 'n Miss	Hit 'n Miss (version 3.0)	—	Hit 'n Miss (version 3.0)	alias
holeland.zip	Hole Land	Hole Land	Japan	Hole Land (Japan)	alias
holo.zip	Holosseum	Holosseum (Rev A)	USA	Holosseum (Rev A) (USA)	alias
honeydol.zip	Honey Dolls	Honey Doll	—	Honey Doll	alias
hookj.zip	Hook	Hook	Japan	Hook (Japan)	alias
hoops96.zip	Hoops	Hoops '96 (Europe/Asia 2.0)	—	Hoops '96 (Europe/Asia 2.0)	alias
horekid.zip	Kid No Hore Hore Daisakusen	Kid no Hore Hore Daisakusen	—	Kid no Hore Hore Daisakusen	alias
horshoes.zip	American Horseshoes	American Horseshoes	USA	American Horseshoes (USA)	alias
hotchase.zip	Hot Chase	Hot Chase (set 1)	—	Hot Chase (set 1)	alias
hotdogst.zip	Hotdog Storm	Hotdog Storm - The First Supersonics	Korea	Hotdog Storm - The First Supersonics (Korea)	alias
hotgm4ev.zip	Taisen Hot Gimmick 4 Ever	Taisen Hot Gimmick 4 Ever	Japan	Taisen Hot Gimmick 4 Ever (Japan)	alias
hotgmck.zip	Taisen Hot Gimmick	Taisen Hot Gimmick	Japan	Taisen Hot Gimmick (Japan)	alias
hotgmck3.zip	Taisen Hot Gimmick 3 Digital Surfing	Taisen Hot Gimmick 3 Digital Surfing	Japan	Taisen Hot Gimmick 3 Digital Surfing (Japan)	alias
hotgmcki.zip	Mahjong Hot Gimmick Integral	Mahjong Hot Gimmick Integral	Japan	Mahjong Hot Gimmick Integral (Japan)	alias
hotmind.zip	Hot Mind	Hot Mind (Hard Times hardware, set 1)	—	Hot Mind (Hard Times hardware, set 1)	alias
hotrod.zip	Hot Rod	Hot Rod (3 Players, Turbo set 1, Floppy Based)	World	Hot Rod (3 Players, Turbo set 1, Floppy Based) (World)	alias
hrdtimes.zip	Hard Times	Hard Times (set 1)	—	Hard Times (set 1)	alias
hsf2.zip	Hyper Street Fighter II: The Anniversary Edition	Hyper Street Fighter II: The Anniversary Edition (USA 040202)	—	Hyper Street Fighter II: The Anniversary Edition (USA 040202)	alias
hvymetal.zip	Heavy Metal	Heavy Metal (315-5135)	—	Heavy Metal (315-5135)	alias
hvysmsh.zip	Heavy Smash	Heavy Smash (Europe version -2)	—	Heavy Smash (Europe version -2)	alias
hvyunit.zip	Heavy Unit	Heavy Unit	World	Heavy Unit (World)	alias
hwchamp.zip	Heavyweight Champ	Heavyweight Champ (set 1)	—	Heavyweight Champ (set 1)	alias
hypernoid.zip	hypernoid	Hypernoid (HB, ver. 20220224)	—	Hypernoid (HB, ver. 20220224)	alias
hyprduel.zip	Hyper Duel	Hyper Duel (Japan set 1)	—	Hyper Duel (Japan set 1)	alias
hypreac2.zip	Mahjong Hyper Reaction 2	Mahjong Hyper Reaction 2	Japan	Mahjong Hyper Reaction 2 (Japan)	alias
hypreact.zip	Mahjong Hyper Reaction	Mahjong Hyper Reaction	Japan	Mahjong Hyper Reaction (Japan)	alias
ibarablk.zip	Ibara Kuro Black Label	Ibara Kuro Black Label (2006/02/06. MASTER VER.)	—	Ibara Kuro Black Label (2006/02/06. MASTER VER.)	alias
ichir.zip	Puzzle & Action: Ichidant-R	Puzzle & Action: Ichidant-R	World	Puzzle & Action: Ichidant-R (World)	alias
ikari.zip	Ikari Warriors	Ikari Warriors (US JAMMA)	—	Ikari Warriors (US JAMMA)	alias
ikari3.zip	Ikari III - The Rescue	Ikari III - The Rescue (World version 1, 8-Way Joystick)	—	Ikari III - The Rescue (World version 1, 8-Way Joystick)	alias
imgfight.zip	Image Fight	Image Fight	World	Image Fight (World)	alias
imsorry.zip	I'm Sorry	I'm Sorry (315-5110)	USA	I'm Sorry (315-5110) (USA)	alias
insectx.zip	Insector X	Insector X	World	Insector X (World)	alias
intcup94.zip	International Cup '94	International Cup '94 (Ver 2.2O 1994/05/26)	—	International Cup '94 (Ver 2.2O 1994/05/26)	alias
inthunt.zip	In the Hunt	In The Hunt	World	In The Hunt (World)	alias
inyourfa.zip	In Your Face	In Your Face (North America, prototype)	—	In Your Face (North America, prototype)	alias
iqblock.zip	Iq-block	IQ-Block (V100U)	—	IQ-Block (V100U)	alias
ironclad.zip	Choutetsu Brikin'ger - Iron Clad	Choutetsu Brikin'ger / Iron Clad (prototype)	—	Choutetsu Brikin'ger / Iron Clad (prototype)	alias
ironhors.zip	Iron Horse	Iron Horse (version K)	—	Iron Horse (version K)	alias
irrmaze.zip	The Irritating Maze	The Irritating Maze / Ultra Denryu Iraira Bou	—	The Irritating Maze / Ultra Denryu Iraira Bou	alias
itaten.zip	Itazura Tenshi	Itazura Tenshi	Japan	Itazura Tenshi (Japan)	alias
jack.zip	Jack the Giantkiller	Jack the Giantkiller (set 1)	—	Jack the Giantkiller (set 1)	alias
jackal.zip	Jackal (World, 8-way Joystick)	Jackal (8-way Joystick)	World	Jackal (8-way Joystick) (World)	alias
jackrabt.zip	Jack Rabbit	Jack Rabbit (set 1)	—	Jack Rabbit (set 1)	alias
janjans1.zip	Lovely Pop Mahjong Jangjang Shimasho	Lovely Pop Mahjong JangJang Shimasho	Japan	Lovely Pop Mahjong JangJang Shimasho (Japan)	alias
janjans2.zip	Lovely Pop Mahjong Jangjang Shimasho 2	Lovely Pop Mahjong JangJang Shimasho 2	Japan	Lovely Pop Mahjong JangJang Shimasho 2 (Japan)	alias
jchan.zip	Jackie Chan - The Kung-fu Master	Jackie Chan - The Kung-Fu Master (rev 4?)	—	Jackie Chan - The Kung-Fu Master (rev 4?)	alias
jchan2.zip	Jackie Chan In Fists Of Fire	Jackie Chan in Fists of Fire	—	Jackie Chan in Fists of Fire	alias
jcross.zip	Jumping Cross	Jumping Cross (set 1)	—	Jumping Cross (set 1)	alias
jdreddp.zip	Judge Dredd	Judge Dredd (rev TA1 7/12/92, location test)	—	Judge Dredd (rev TA1 7/12/92, location test)	alias
jitsupro.zip	Jitsuryoku!! Pro Yakyuu	Jitsuryoku!! Pro Yakyuu	Japan	Jitsuryoku!! Pro Yakyuu (Japan)	alias
jmpbreak.zip	Jumping Break	Jumping Break (set 1)	—	Jumping Break (set 1)	alias
jockeygp.zip	Jockey Grand Prix	Jockey Grand Prix (set 1)	—	Jockey Grand Prix (set 1)	alias
joemacr.zip	Joe & Mac Returns	Joe & Mac Returns (Version 1.1, 1994.05.27)	World	Joe & Mac Returns (Version 1.1, 1994.05.27) (World)	alias
jojo.zip	JoJo's Venture	JoJo's Venture (Europe 990128)	—	JoJo's Venture (Europe 990128)	alias
jojobar1.zip	JoJo's Bizarre Adventure: Last Survivor	JoJo's Bizarre Adventure (Europe 990927)	—	JoJo's Bizarre Adventure (Europe 990927)	alias
joyfulr.zip	Joyful Road	Joyful Road	Japan	Joyful Road (Japan)	alias
joyjoy.zip	Puzzled	Puzzled / Joy Joy Kid (NGM-021 ~ NGH-021)	—	Puzzled / Joy Joy Kid (NGM-021 ~ NGH-021)	alias
jpark.zip	Jurassic Park	Jurassic Park (Rev A)	World	Jurassic Park (Rev A) (World)	alias
jpopnics.zip	Jumping Pop	Jumping Pop (Nics, Korean hack of Plump Pop)	—	Jumping Pop (Nics, Korean hack of Plump Pop)	alias
jrpacman.zip	Jr. Pac-Man	Jr. Pac-Man (11/9/83)	—	Jr. Pac-Man (11/9/83)	alias
jumpcoas.zip	Jump Coaster	Jump Coaster	World	Jump Coaster (World)	alias
jumpkun.zip	Jump Kun	Jump Kun (prototype)	—	Jump Kun (prototype)	alias
jumppop.zip	Jumping Pop	Jumping Pop (set 1)	—	Jumping Pop (set 1)	alias
junglek.zip	Jungle King	Jungle King	Japan	Jungle King (Japan)	alias
jyangoku.zip	Jyangokushi: Haoh no Saihai	Jyangokushi: Haoh no Saihai (Japan 990527)	—	Jyangokushi: Haoh no Saihai (Japan 990527)	alias
kabukikl.zip	Far East of Eden: Kabuki Klash	Far East of Eden - Kabuki Klash / Tengai Makyou - Shin Den	—	Far East of Eden - Kabuki Klash / Tengai Makyou - Shin Den	alias
kabukiz.zip	Kabuki-Z	Kabuki-Z	World	Kabuki-Z (World)	alias
kaiserkn.zip	Kaiser Knuckle	Kaiser Knuckle (Ver 2.1O 1994/07/29)	—	Kaiser Knuckle (Ver 2.1O 1994/07/29)	alias
